index,LapTime,DriverNumber
231,NaT,26
232,0 days 00:01:26.774000,26
233,0 days 00:01:46.800000,26
234,NaT,26
235,NaT,26
236,0 days 00:01:26.744000,26
237,0 days 00:01:42.092000,26
238,NaT,63
239,0 days 00:01:27.566000,63
240,0 days 00:02:16.481000,63
241,0 days 00:01:27.074000,63
242,0 days 00:01:39.824000,63
243,NaT,63
244,0 days 00:01:26.732000,63
245,0 days 00:02:04.204000,63
246,NaT,63
247,0 days 00:01:27.366000,63
248,NaT,63
249,NaT,63
250,0 days 00:01:27.092000,63
251,0 days 00:02:03.407000,63
252,NaT,20
253,0 days 00:01:27.814000,20
254,0 days 00:01:40.293000,20
255,NaT,20
256,0 days 00:01:27.303000,20
257,0 days 00:01:40.824000,20
258,NaT,20
259,0 days 00:01:27.158000,20
260,0 days 00:01:42.202000,20
261,NaT,99
262,0 days 00:01:27.924000,99
263,0 days 00:01:42.975000,99
264,NaT,99
265,0 days 00:01:27.636000,99
266,0 days 00:01:37.640000,99
267,NaT,99
268,0 days 00:01:27.164000,99
269,0 days 00:01:49.824000,99
270,NaT,7
271,0 days 00:01:27.941000,7
272,0 days 00:01:42.427000,7
273,NaT,7
274,0 days 00:01:27.569000,7
275,0 days 00:01:49.838000,7
276,NaT,7
277,0 days 00:01:27.366000,7
278,0 days 00:01:57.939000,7
279,NaT,8
280,0 days 00:01:27.890000,8
281,0 days 00:01:40.912000,8
282,NaT,8
283,0 days 00:01:27.317000,8
284,0 days 00:01:39.683000,8
285,NaT,8
286,0 days 00:01:27.643000,8
287,0 days 00:01:41.818000,8
288,NaT,6
289,0 days 00:01:27.897000,6
290,0 days 00:02:06.094000,6
291,0 days 00:01:27.705000,6
292,0 days 00:01:50.137000,6
293,NaT,6
294,0 days 00:02:25.146000,6
